OrderID	CustomerID	AccountRep	OrderDate	ShippedDate	ShippedBy	Freight	ShipName	ShipAddress	ShipCity	ShipRegion	ShipPostalCode	ShipCountry	RequiredDate
11079	LANER	Carpenter	05-Jan-10	07-Jan-10	Big Things Freight	$18.00	Eric Lang	991 S. Mississippi Rd.	St. Louis	MO	89203	USA	
11080	ACKPI	Carpenter	05-Jan-10	06-Jan-10	EZ Does It	$13.25	Pilar Ackerman	8808 Backbay St.	Boston	MA	88337	USA	
11081	BROKE	Anderson	06-Jan-10	07-Jan-10	EZ Does It	$8.95	Kevin Browne	666 Fords Landing	Westover	WV	66954	USA	
11082	KHAKA	Anderson	06-Jan-10	08-Jan-10	Triple P Delivery	$5.50	Karan Khanna	401 Rodeo Dr.	Auburn	WA	34923	USA	12-Jan-10
11083	KOCRE	Carpenter	08-Jan-10	09-Jan-10	Triple P Delivery	$28.00	Mary Anne Kobylka	4568 Spaulding Ave. N.	Seattle	WA	12345	USA	12-Jan-10
11084	COXBR	Anderson	12-Jan-10	14-Jan-10	Triple P Delivery	$8.50	Arlette Cox	14 S. Elm Dr.	Moscow	ID	02912	USA	
11085	RAMLU	Emanuel	12-Jan-10	13-Jan-10	EZ Does It	$3.00	Luciana Ramos	12 Juanita Ln.	Helena	MT	42665	USA	
11086	OVESC	DeGrasse	12-Jan-10	13-Jan-10	Triple P Delivery	$6.95	Lani Ota	78 Miller St.	Seattle	WA	81233	USA	
11087	THIRA	Carpenter	12-Jan-10	13-Jan-10	Big Things Freight	$20.00	John Thorson	27 Christopher St.	Seattle	WA	67645	USA	
11088	MILFR	Emanuel	13-Jan-10	14-Jan-10	Triple P Delivery	$7.95	Geof Miller	18 Elm St.	Tulalip	WA	77483	USA	
11089	ESTMO	Anderson	14-Jan-10	16-Jan-10	EZ Does It	$7.50	Modesto Estrada	511 Lincoln Ave.	Burns	OR	27182	USA	19-Jan-10
11090	HOFRO	Emanuel	14-Jan-10	16-Jan-10	Big Things Freight	$14.50	Roland Hofmann	42 El Camino Dr.	Seattle	WA	11299	USA	
11091	HOLMI	Carpenter	15-Jan-10	19-Jan-10	EZ Does It	$24.50	Michael Holm	4220 Main St.	Bellevue	WA	39200	USA	20-Jan-10
